event_id,customer_id,event_type,event_timestamp,channel,utm_source,utm_campaign,page_url
EV0000001,C0001,page_view,2022-03-20 07:27:20,google_ads,,,/para-empresas
EV0000002,C0001,page_view,2022-03-20 15:13:34,referral,referral,lancamento_salmao,/blog/peixe-vegetal-e-saudavel
EV0000003,C0001,email_open,2022-03-21 06:06:05,referral,referral,semana_santa_2024,
EV0000004,C0001,signup,2022-03-22 11:30:49,referral,referral,veganeiro_jan,
EV0000005,C0001,demo_request,2022-03-23 17:40:34,referral,referral,veganeiro_2024,
EV0000006,C0001,first_purchase,2022-03-24 01:11:33,instagram,instagram,lancamento_salmao,
EV0000007,C0001,repeat_purchase,2022-03-24 01:54:16,tiktok,tiktok,,
EV0000008,C0001,repeat_purchase,2022-03-24 12:21:00,linkedin,linkedin,,
EV0000009,C0002,page_view,2022-01-06 18:36:39,tiktok,tiktok,,/receitas
EV0000010,C0002,page_view,2022-01-07 21:56:50,instagram,instagram,natal_2022,/produtos/salmao-vegetal
EV0000011,C0002,email_open,2022-01-08 10:25:48,linkedin,linkedin,lancamento_salmao,
EV0000012,C0003,page_view,2024-10-14 02:25:01,instagram,instagram,semana_santa_2022,/produtos/atum-vegetal
EV0000013,C0003,page_view,2024-10-14 14:13:54,referral,referral,semana_santa_2024,/produtos/atum-vegetal
EV0000014,C0003,page_view,2024-10-14 21:35:31,organic,organic,lancamento_polvo,/receitas
EV0000015,C0003,email_open,2024-10-15 01:38:24,google_ads,google_ads,semana_santa_2023,
EV0000016,C0003,signup,2024-10-16 18:46:59,organic,organic,veganeiro_2024,
EV0000017,C0003,email_open,2024-10-18 01:18:56,organic,organic,semana_santa_2022,
EV0000018,C0003,email_click,2024-10-19 20:12:54,tiktok,tiktok,brand_top_funnel,
EV0000019,C0003,demo_request,2024-10-21 14:26:02,instagram,instagram,brand_awareness_q1,
EV0000020,C0003,repeat_purchase,2024-10-22 13:43:13,google_ads,google_ads,semana_santa_2023,
EV0000021,C0003,repeat_purchase,2024-10-23 23:17:56,linkedin,linkedin,natal_2022,
EV0000022,C0004,page_view,2024-06-14 13:18:40,linkedin,linkedin,veganeiro_2024,/contato
EV0000023,C0004,page_view,2024-06-15 03:00:41,email,email,veganeiro_jan,/receitas
EV0000024,C0004,signup,2024-06-15 16:19:08,referral,referral,,
EV0000025,C0004,demo_request,2024-06-17 11:10:01,tiktok,tiktok,natal_2022,
EV0000026,C0005,page_view,2024-08-31 22:09:14,instagram,instagram,veganeiro_2024,/contato
EV0000027,C0005,page_view,2024-09-02 06:00:04,referral,referral,semana_santa_2022,/sobre
EV0000028,C0005,page_view,2024-09-03 00:11:23,organic,organic,semana_santa_2023,/produtos/salmao-vegetal
EV0000029,C0005,email_open,2024-09-04 15:19:29,tiktok,,semana_santa_2022,
EV0000030,C0005,email_click,2024-09-04 17:08:59,organic,organic,brand_awareness_q1,
EV0000031,C0005,repeat_purchase,2024-09-06 08:51:01,organic,organic,lancamento_polvo,
EV0000032,C0005,repeat_purchase,2024-09-07 07:30:49,instagram,instagram,brand_top_funnel,
EV0000033,C0006,page_view,2023-06-11 20:33:35,google_ads,,black_friday_2023,/sobre
EV0000034,C0006,page_view,2023-06-13 12:17:39,email,,semana_santa_2024,/produtos/atum-vegetal
EV0000035,C0006,page_view,2023-06-13 20:08:06,instagram,instagram,semana_santa_2024,/
EV0000036,C0006,email_open,2023-06-14 19:53:38,google_ads,google_ads,semana_santa_2024,
EV0000037,C0006,email_click,2023-06-16 19:13:06,linkedin,linkedin,,
EV0000038,C0007,page_view,2024-04-05 21:18:05,organic,organic,veganeiro_2024,/blog/peixe-vegetal-e-saudavel
EV0000039,C0007,page_view,2024-04-07 03:57:41,linkedin,linkedin,brand_top_funnel,/produtos
EV0000040,C0007,page_view,2024-04-07 12:55:00,linkedin,linkedin,semana_santa_2023,/onde-comprar
EV0000041,C0007,signup,2024-04-09 02:38:45,linkedin,linkedin,brand_top_funnel,
EV0000042,C0007,email_open,2024-04-10 10:43:06,instagram,instagram,natal_2022,
EV0000043,C0007,email_click,2024-04-11 10:04:53,email,email,lancamento_salmao,
